scenario,rep_num,customer_id,num_items,arrival_ts,got_cart_ts,start_produce_ts,finish_produce_ts,got_butcher_ts,release_butcher_ts,start_pantry_ts,finish_pantry_ts,got_cashier_ts,cashier_speed,exit_system_ts,wait_for_cart,produce_time,wait_for_butcher,butcher_time,pantry_time,wait_for_cashier,checkout_time,time_in_system,time_in_system_peritem
2023.06.25.00.00.,1,32,14.0,9.233005367347028,9.233005367347028,10.279035843122024,13.860539708318376,15.265898350573508,15.265898350573508,15.265898350573508,31.38388986397836,31.38388986397836,0.0116021359793351,31.6275347195444,0.0,3.581503865196352,1.4053586422551323,0.0,16.11799151340485,17.523350155659983,0.2436448555660391,22.394529352197367,1.599609239442669
2023.06.25.00.00.,1,22,19.0,6.081654911085276,6.081654911085276,6.687625070396711,13.776683140287798,15.265898350573508,15.265898350573508,15.265898350573508,30.272356178368867,30.272356178368867,0.1162664523423053,32.13261941584575,0.0,7.089058069891086,1.4892152102857104,0.0,15.00645782779536,16.49567303808107,1.860263237476886,26.05096450476048,1.3711033949873934
2023.06.25.00.00.,1,15,20.0,4.316682984238321,4.316682984238321,5.012551819938092,18.79649435799421,,,18.79649435799421,31.623455984319094,31.623455984319094,0.0378072756878533,32.2661796710126,0.0,13.783942538056117,,,12.826961626324884,12.826961626324884,0.6427236866935075,27.94949668677428,1.397474834338714
2023.06.25.00.00.,1,12,22.0,3.2336803455705354,3.2336803455705354,4.126140225728067,11.40195187819987,,,11.40195187819987,30.02835673135594,30.02835673135594,0.1300497589247552,32.49930215092629,0.0,7.275811652471804,,,18.62640485315607,18.62640485315607,2.4709454195703486,29.26562180535576,1.3302555366070798
2023.06.25.00.00.,1,20,13.0,4.972231865401252,4.972231865401252,6.324164195447118,16.447225670156797,,,16.447225670156797,31.013654169725825,31.013654169725825,0.0888926683711106,32.61372220040582,0.0,10.12306147470968,,,14.566428499569028,14.566428499569028,1.600068030679992,27.64149033500457,2.1262684873080437
2023.06.25.00.00.,1,6,23.0,2.333883145333244,2.333883145333244,2.8208359014296924,14.156753785049496,,,14.156753785049496,32.28457729476901,32.28457729476901,0.0643594346810868,33.50740655370966,0.0,11.335917883619803,,,18.127823509719512,18.127823509719512,1.2228292589406493,31.17352340837641,1.3553705829728877
2023.06.25.00.00.,1,10,20.0,2.975640052894873,2.975640052894873,3.946674191490743,10.646428548997267,10.646428548997267,15.265898350573508,15.265898350573508,33.48040746442647,33.48040746442647,0.0162879211052025,33.80616588653052,0.0,6.699754357506524,0.0,4.6194698015762405,18.21450911385296,22.833978915429203,0.3257584221040517,30.830525833635647,1.5415262916817825
2023.06.25.00.00.,1,8,18.0,2.787035346178264,2.787035346178264,3.75155396270158,17.7011887130448,,,17.7011887130448,33.85208947732346,33.85208947732346,0.0373467541096288,34.44963754307752,0.0,13.94963475034322,,,16.15090076427866,16.15090076427866,0.5975480657540615,31.662602196899257,1.759033455383292
2023.06.25.00.00.,1,2,19.0,0.2407778546291905,0.2407778546291905,2.110939201772199,11.1460438620859,,,11.1460438620859,34.05961559425127,34.05961559425127,0.0217973785909065,34.45196840888759,0.0,9.0351046603137,,,22.91357173216537,22.91357173216537,0.3923528146363182,34.211190554258394,1.8005889765399157
2023.06.25.00.00.,1,7,18.0,2.444712084378604,2.444712084378604,3.615729619190597,13.85271910978427,,,13.85271910978427,31.833732491706066,31.833732491706066,0.1251812468725693,34.46253867603002,0.0,10.236989490593672,,,17.981013381921798,17.981013381921798,2.628806184323956,32.01782659165142,1.7787681439806344
2023.06.25.00.00.,1,28,21.0,7.219320995421226,7.219320995421226,7.478971005036008,20.02184135564544,,,20.02184135564544,30.55435057980526,30.55435057980526,0.2545130370598509,34.881072209822726,0.0,12.542870350609434,,,10.532509224159815,10.532509224159815,4.326721630017467,27.661751214401495,1.3172262483048331
2023.06.25.00.00.,1,41,18.0,12.387266583911638,12.387266583911638,13.71747683406185,23.03939240963212,,,23.03939240963212,34.83550412703238,34.83550412703238,0.0425442615374876,35.473668050094695,0.0,9.321915575570271,,,11.796111717400258,11.796111717400258,0.6381639230623151,23.08640146618305,1.282577859232392
2023.06.25.00.00.,1,9,18.0,2.8126803497136725,2.8126803497136725,3.9608453354699247,20.736830914405537,,,20.736830914405537,33.14153859999826,33.14153859999826,0.2039983877542235,36.81350957957429,0.0,16.77598557893561,,,12.404707685592726,12.404707685592726,3.671970979576024,34.000829229860614,1.8889349572144785
2023.06.25.00.00.,1,1,18.0,0.1663066334229826,0.1663066334229826,1.8740093153051685,12.468444511518788,,,12.468444511518788,31.936711371882232,31.936711371882232,0.3080999698886007,38.09871076965425,0.0,10.59443519621362,,,19.468266860363443,19.468266860363443,6.161999397772014,37.93240413623126,2.107355785346181
2023.06.25.00.00.,1,19,19.0,4.907301468589011,4.907301468589011,6.900254419999593,22.51587440283557,,,22.51587440283557,37.47328124419328,37.47328124419328,0.084202787743026,38.65212027259564,0.0,15.61561998283598,,,14.957406841357702,14.957406841357702,1.1788390284023649,33.74481880400663,1.7760430949477173
2023.06.25.00.00.,1,13,17.0,3.3612225535799007,3.3612225535799007,3.534212954876209,18.46556510356464,,,18.46556510356464,38.19354193950701,38.19354193950701,0.0470101614937583,38.71065371593835,0.0,14.931352148688427,,,19.72797683594237,19.72797683594237,0.5171117764313422,35.34943116235845,2.079378303668144
