scenario,rep_num,customer_id,num_produce,num_butcher,num_pantry,num_items,arrival_ts,got_cart_ts,start_produce_ts,finish_produce_ts,got_butcher_ts,release_butcher_ts,start_pantry_ts,finish_pantry_ts,got_cashier_ts,cashier_speed,exit_system_ts,wait_for_cart,produce_time,wait_for_butcher,butcher_time,pantry_time,wait_for_cashier,checkout_time,time_in_system,time_in_system_peritem
base,2,12,6.0,0.0,10.0,22.0,3.8805742710533684,3.8805742710533684,5.051321595791288,7.965061906122175,,,7.965061906122175,25.43166994037575,25.43166994037575,0.13050038995601465,28.5636792993201,0.0,2.913740310330887,,,17.466608034253575,17.466608034253575,3.1320093589443516,24.68310502826673,1.1219593194666695
base,2,14,9.0,0.0,12.0,17.0,5.186476598325653,5.186476598325653,5.9541462615653895,18.692808624245615,18.692808624245615,18.692808624245615,18.692808624245615,30.848776254117517,30.848776254117517,0.12362728503726701,33.56857652493739,0.0,12.738662362680225,0.0,0.0,12.155967629871903,12.155967629871903,2.7198002708198743,28.382099926611737,1.6695352898006903
base,2,9,9.0,2.0,5.0,13.0,3.4380970377167497,3.4380970377167497,4.044649255794827,15.980496142963336,,,15.980496142963336,32.603177752785,32.603177752785,0.04661025594358948,33.67521363948756,0.0,11.935846887168509,,,16.622681609821665,16.622681609821665,1.0720358867025581,30.237116601770808,2.3259320462900623
base,2,13,6.0,1.0,10.0,12.0,4.221672614724198,4.221672614724198,5.82044289095267,14.463586232812457,14.463586232812457,14.463586232812457,14.463586232812457,33.73587734121051,33.73587734121051,0.03292577120501347,34.32854122290075,0.0,8.643143341859787,0.0,0.0,19.272291108398054,19.272291108398054,0.5926638816902425,30.106868608176555,2.5089057173480462
base,2,5,6.0,3.0,10.0,20.0,2.4011681995409124,2.4011681995409124,3.739499273953098,20.752424487149884,,,20.752424487149884,30.98855649704578,30.98855649704578,0.18535745778925072,34.695705652830796,0.0,17.012925213196787,,,10.236132009895897,10.236132009895897,3.7071491557850145,32.294537453289884,1.614726872664494
base,2,8,6.0,2.0,14.0,19.0,3.2045462239817497,3.2045462239817497,4.363223496255,14.093215839493372,,,14.093215839493372,31.646781227216206,31.646781227216206,0.3391457111380689,35.377384049734964,0.0,9.729992343238372,,,17.553565387722834,17.553565387722834,3.730602822518758,32.17283782575321,1.693307253987011
base,2,11,7.0,2.0,9.0,14.0,3.6440852879051517,3.6440852879051517,4.760929871350014,22.735016995451975,,,22.735016995451975,34.790154897244975,34.790154897244975,0.06502195007374627,35.57041829812993,0.0,17.97408712410196,,,12.055137901793,12.055137901793,0.7802634008849552,31.926333010224777,2.2804523578731986
base,2,35,2.0,0.0,10.0,16.0,12.451026451208614,12.451026451208614,13.477237950692126,24.818335860755845,,,24.818335860755845,36.22189271250191,36.22189271250191,0.12167008476657984,38.65529440783351,0.0,11.341097910063718,,,11.403556851746067,11.403556851746067,2.4334016953315967,26.204267956624896,1.637766747289056
base,2,2,9.0,0.0,12.0,20.0,0.544053498088598,0.544053498088598,2.0722776705607986,13.37936528042033,,,13.37936528042033,38.23977531558012,38.23977531558012,0.16569320690614872,41.05655983298465,0.0,11.307087609859533,,,24.860410035159788,24.860410035159788,2.8167845174045283,40.512506334896045,2.025625316744802
base,2,1,9.0,2.0,7.0,17.0,0.13697144895350633,0.13697144895350633,0.608812511193471,15.012503168766553,,,15.012503168766553,40.36535300804263,40.36535300804263,0.033841863109911816,41.10987399646069,0.0,14.403690657573083,,,25.35284983927608,25.35284983927608,0.7445209884180599,40.97290254750719,2.410170738088658
