scenario,rep_num,customer_id,num_produce,num_butcher,num_pantry,num_items,arrival_ts,got_cart_ts,start_produce_ts,finish_produce_ts,got_butcher_ts,release_butcher_ts,start_pantry_ts,finish_pantry_ts,got_cashier_ts,cashier_speed,exit_system_ts,wait_for_cart,produce_time,wait_for_butcher,butcher_time,pantry_time,wait_for_cashier,checkout_time,time_in_system,time_in_system_peritem
base,3,16,8.0,0.0,13.0,11.0,4.1663696726019674,4.1663696726019674,4.395749190203334,12.379828039130613,,,12.379828039130613,25.62460091784167,25.62460091784167,0.09571184757740618,27.443126021812386,0.0,7.984078848927279,,,13.244772878711055,13.244772878711055,1.8185251039707175,23.27675634921042,2.116068759019129
base,3,10,3.0,0.0,9.0,17.0,2.9233409216914117,2.9233409216914117,3.8588697766842808,11.637965297396509,,,11.637965297396509,27.83984680584678,27.83984680584678,0.03978396200972447,28.715093970060718,0.0,7.779095520712228,,,16.20188150845027,16.20188150845027,0.8752471642139383,25.791753048369305,1.5171619440217239
base,3,32,6.0,0.0,9.0,18.0,10.49804036025067,10.49804036025067,11.372467688877,14.526393284790831,,,14.526393284790831,27.808344966947303,27.808344966947303,0.11986496151375575,29.366589466626127,0.0,3.1539255959138313,,,13.281951682156471,13.281951682156471,1.5582444996788247,18.868549106375458,1.0482527281319698
base,3,5,9.0,0.0,6.0,15.0,0.6886223707145193,0.6886223707145193,1.6711122835011243,15.331908478247767,,,15.331908478247767,27.057958950526597,27.057958950526597,0.19765261918900734,31.20866395349575,0.0,13.660796194746643,,,11.72605047227883,11.72605047227883,4.150705002969154,30.520041582781232,2.0346694388520823
base,3,6,9.0,0.0,7.0,17.0,0.7929913656424411,0.7929913656424411,0.9981041326048662,12.946035498384408,,,12.946035498384408,29.254132268732242,29.254132268732242,0.13708121574215376,32.13283779931747,0.0,11.947931365779542,,,16.308096770347834,16.308096770347834,2.878705530585229,31.33984643367503,1.8435203784514724
base,3,9,9.0,0.0,6.0,14.0,2.725199028975947,2.725199028975947,3.9473902241383314,12.730356436921582,,,12.730356436921582,31.11648613583139,31.11648613583139,0.18531608821363377,34.08154354724953,0.0,8.78296621278325,,,18.38612969890981,18.38612969890981,2.9650574114181403,31.356344518273584,2.239738894162399
base,3,12,9.0,0.0,10.0,15.0,3.393359212485948,3.393359212485948,3.7833144514396175,18.56554644870746,18.56554644870746,24.931259019332465,24.931259019332465,34.50284058734678,34.50284058734678,0.04067157489775498,35.07224263591535,0.0,14.782231997267845,0.0,6.3657125706250035,9.571581568014317,15.93729413863932,0.5694020485685698,31.678883423429404,2.1119255615619603
base,3,11,6.0,0.0,11.0,13.0,3.389363222039597,3.389363222039597,4.670849727562636,13.2366038264109,,,13.2366038264109,33.67324615115743,33.67324615115743,0.12977928099685648,35.49015608511342,0.0,8.565754098848263,,,20.43664232474653,20.43664232474653,1.8169099339559907,32.10079286307382,2.4692917586979863
base,3,3,6.0,0.0,8.0,17.0,0.12906978054951962,0.12906978054951962,1.4407614024714783,11.312863719257843,,,11.312863719257843,34.67550420800866,34.67550420800866,0.11055821118813158,36.444435587018766,0.0,9.872102316786364,,,23.36264048875082,23.36264048875082,1.7689313790101053,36.315365806469245,2.1361979886158378
base,3,37,5.0,2.0,8.0,18.0,11.51030232068794,11.51030232068794,13.122608784633448,19.04230331658806,,,19.04230331658806,35.77398169530089,35.77398169530089,0.130522024684673,37.99285611494033,0.0,5.9196945319546135,,,16.73167837871283,16.73167837871283,2.218874419639441,26.48255379425239,1.471252988569577
base,3,1,7.0,0.0,6.0,14.0,0.07716101223895286,0.07716101223895286,1.337707414479866,11.41228480849059,,,11.41228480849059,32.831204006807624,32.831204006807624,0.30319456621931873,39.19828989741332,0.0,10.074577394010724,,,21.418919198317035,21.418919198317035,6.3670858906056935,39.121128885174365,2.794366348941026
base,3,18,8.0,2.0,14.0,12.0,5.814458300517657,5.814458300517657,5.8513631176372884,21.92101975990181,,,21.92101975990181,37.473754874494816,37.473754874494816,0.09745049492212682,39.617665762781606,0.0,16.069656642264523,,,15.552735114593006,15.552735114593006,2.14391088828679,33.80320746226395,2.8169339551886625
base,3,51,8.0,2.0,9.0,16.0,17.670141646998044,17.670141646998044,18.25018139119033,25.259795109010213,,,25.259795109010213,39.434387175852315,39.434387175852315,0.04383145550843987,40.09185900847891,0.0,7.009613717819882,,,14.174592066842102,14.174592066842102,0.657471832626598,22.42171736148087,1.4013573350925543
base,3,20,8.0,0.0,12.0,14.0,6.785565196340967,6.785565196340967,8.722477912946024,18.1851233030748,,,18.1851233030748,38.19868459194721,38.19868459194721,0.1129236578312357,40.34423409074069,0.0,9.462645390128776,,,20.013561288872413,20.013561288872413,2.1455494987934784,33.55866889439972,2.397047778171409
base,3,24,9.0,0.0,10.0,14.0,7.60047635842579,7.60047635842579,7.828837527276099,23.833061329668794,,,23.833061329668794,41.93230658194952,41.93230658194952,0.012733233263647984,42.12330508090424,0.0,16.004223802392694,,,18.099245252280724,18.099245252280724,0.19099849895471976,34.52282872247845,2.4659163373198894
base,3,8,7.0,1.0,9.0,15.0,1.6230311612027828,1.6230311612027828,2.2190012014828255,14.33861906161737,,,14.33861906161737,38.851784923651074,38.851784923651074,0.22132898414435545,42.171719685816406,0.0,12.119617860134545,,,24.513165862033702,24.513165862033702,3.3199347621653317,40.548688524613624,2.703245901640908
base,3,34,8.0,0.0,9.0,20.0,11.082180465116789,11.082180465116789,11.121504504546623,23.12090064333656,,,23.12090064333656,40.39447135452981,40.39447135452981,0.14753188785246404,42.45991778446431,0.0,11.999396138789939,,,17.27357071119325,17.27357071119325,2.0654464299344966,31.37773731934752,1.568886865967376
base,3,2,5.0,0.0,13.0,19.0,0.07781291854771653,0.07781291854771653,1.694066899936723,18.552656481406423,,,18.552656481406423,35.78679345266804,35.78679345266804,0.5121702368280324,43.46934700508853,0.0,16.8585895814697,,,17.23413697126162,17.23413697126162,7.682553552420487,43.391534086540815,2.283764951923201
base,3,31,9.0,0.0,11.0,16.0,10.354435446010148,10.354435446010148,10.980149690601115,20.50579597600582,,,20.50579597600582,39.111070887781906,39.111070887781906,0.23267737397691732,43.76461836732025,0.0,9.525646285404706,,,18.605274911776085,18.605274911776085,4.6535474795383465,33.4101829213101,2.0881364325818814
base,3,17,7.0,0.0,14.0,18.0,5.414162600600252,5.414162600600252,7.063309368981519,16.21371095288668,16.21371095288668,16.21371095288668,16.21371095288668,39.42290264310811,39.42290264310811,0.3704024615662814,44.60853710503605,0.0,9.15040158390516,0.0,0.0,23.20919169022143,23.20919169022143,5.18563446192794,39.1943745044358,2.177465250246433
base,3,21,10.0,0.0,9.0,20.0,7.153841970820542,7.153841970820542,7.788979152909975,24.674577764560677,,,24.674577764560677,39.6563856946095,39.6563856946095,0.3290601436412497,44.92134799286949,0.0,16.885598611650703,,,14.98180793004882,14.98180793004882,5.264962298259995,37.76750602204895,1.8883753011024473
base,3,36,9.0,0.0,11.0,16.0,11.334337456199354,11.334337456199354,11.527626806956011,24.202691588853053,24.931259019332465,24.931259019332465,24.931259019332465,43.87063203362912,43.87063203362912,0.1056200937479371,45.98303390858786,0.0,12.675064781897042,0.7285674304794121,0.0,18.939373014296656,19.667940444776068,2.112401874958742,34.648696452388506,2.1655435282742816
base,3,22,5.0,0.0,10.0,20.0,7.233614114949423,7.233614114949423,7.792004026987646,25.796436935419095,25.796436935419095,25.796436935419095,25.796436935419095,42.75256947946458,42.75256947946458,0.21464582442242053,46.18690267022331,0.0,18.004432908431447,0.0,0.0,16.956132544045488,16.956132544045488,3.4343331907587284,38.953288555273886,1.9476644277636943
base,3,25,8.0,2.0,12.0,16.0,7.726912259392902,7.726912259392902,8.775375109290678,21.71806634213156,,,21.71806634213156,41.047289222511964,41.047289222511964,0.3198115275613234,46.48408519105446,0.0,12.942691232840883,,,19.329222880380403,19.329222880380403,5.436795968542498,38.75717293166156,2.4223233082288473
