scenario,rep_num,customer_id,num_produce,num_butcher,num_pantry,num_items,arrival_ts,got_cart_ts,start_produce_ts,finish_produce_ts,got_butcher_ts,release_butcher_ts,start_pantry_ts,finish_pantry_ts,got_cashier_ts,cashier_speed,exit_system_ts,wait_for_cart,produce_time,wait_for_butcher,butcher_time,pantry_time,wait_for_cashier,checkout_time,time_in_system,time_in_system_peritem
base_150c1b18c,10,5,8.0,0.0,11.0,20.0,2.3749406906101025,2.3749406906101025,3.9445970938131216,11.354316864030775,,,11.354316864030775,28.743400012779784,28.743400012779784,0.11090676142035062,30.850628479766446,0.0,7.409719770217653,,,17.38908314874901,17.38908314874901,2.107228466986662,28.475687789156343,1.423784389457817
base_150c1b18c,10,8,9.0,0.0,13.0,17.0,3.33033672374692,3.33033672374692,3.9200943317880537,12.541057537724914,,,12.541057537724914,29.396438273070064,29.396438273070064,0.28625933434784795,33.11780961959209,0.0,8.62096320593686,,,16.85538073534515,16.85538073534515,3.721371346522023,29.787472895845166,1.7522042879908921
base_150c1b18c,10,21,4.0,2.0,11.0,16.0,9.31366164385663,9.31366164385663,9.607261107678163,22.020392455567517,,,22.020392455567517,31.903317606435884,31.903317606435884,0.08649312682522074,33.37370076246464,0.0,12.413131347889355,,,9.882925150868367,9.882925150868367,1.4703831560287526,24.060039118608007,1.5037524449130004
base_150c1b18c,10,20,6.0,0.0,10.0,14.0,8.380255445709965,8.380255445709965,8.792562157553444,16.00542307754531,,,16.00542307754531,34.94365949783516,34.94365949783516,0.020332658861718755,35.309647357346094,0.0,7.212860919991865,,,18.938236420289847,18.938236420289847,0.3659878595109376,26.92939191163613,1.923527993688295
base_150c1b18c,10,13,5.0,0.0,6.0,21.0,4.546882867684088,4.546882867684088,6.440804061916148,10.61377353225785,,,10.61377353225785,30.083490138848056,30.083490138848056,0.35096015341766973,36.75173305378378,0.0,4.172969470341703,,,19.469716606590204,19.469716606590204,6.668242914935725,32.20485018609969,1.5335642945761758
base_150c1b18c,10,9,5.0,0.0,10.0,16.0,3.427779934364246,3.427779934364246,3.8097398162952323,18.160427919063988,,,18.160427919063988,33.32906177029696,33.32906177029696,0.1759762141477344,37.37651469569485,0.0,14.350688102768755,,,15.168633851232972,15.168633851232972,4.0474529253978915,33.948734761330606,2.121795922583163
base_150c1b18c,10,11,6.0,0.0,8.0,21.0,3.9397135667210943,3.9397135667210943,5.281558644667366,20.42176013875083,,,20.42176013875083,36.146664135783105,36.146664135783105,0.05627898987545166,37.38480191304304,0.0,15.140201494083463,,,15.724903997032275,15.724903997032275,1.2381377772599365,33.445088346321945,1.5926232545867594
base_150c1b18c,10,18,6.0,0.0,10.0,15.0,7.115152175917735,7.115152175917735,8.166434231200405,21.847335164751925,,,21.847335164751925,35.943854165949496,35.943854165949496,0.2357851846779937,39.24484675144141,0.0,13.68090093355152,,,14.09651900119757,14.09651900119757,3.3009925854919118,32.12969457552367,2.141979638368245
base_150c1b18c,10,4,7.0,0.0,7.0,17.0,2.221911893121514,2.221911893121514,3.4018996533881,23.238220308687236,,,23.238220308687236,38.68283638958493,38.68283638958493,0.049087224229010455,39.419144753020085,0.0,19.836320655299136,,,15.444616080897692,15.444616080897692,0.7363083634351568,37.19723285989857,2.188072521170504
base_150c1b18c,10,31,7.0,0.0,6.0,16.0,12.953187368824814,12.953187368824814,14.245474362119175,23.026174318460885,,,23.026174318460885,37.165173219702815,37.165173219702815,0.25063710945779066,41.42600408048526,0.0,8.78069995634171,,,14.13899890124193,14.13899890124193,4.260830860782441,28.472816711660442,1.7795510444787777
