scenario,rep_num,ts,occ
2023.06.25.00.18.,2023.06.25.00.18.,0.0,0.0
2023.06.25.00.18.,2023.06.25.00.18.,23.514192211402893,1.0
2023.06.25.00.18.,2023.06.25.00.18.,24.347203537522187,0.0
2023.06.25.00.18.,2023.06.25.00.18.,25.715057416096418,1.0
2023.06.25.00.18.,2023.06.25.00.18.,25.937637954256083,2.0
2023.06.25.00.18.,2023.06.25.00.18.,27.811804977251896,3.0
2023.06.25.00.18.,2023.06.25.00.18.,28.872353391784202,2.0
2023.06.25.00.18.,2023.06.25.00.18.,29.839924874588718,3.0
2023.06.25.00.18.,2023.06.25.00.18.,30.696902086819414,2.0
2023.06.25.00.18.,2023.06.25.00.18.,30.835269190166613,3.0
2023.06.25.00.18.,2023.06.25.00.18.,32.87096405611702,4.0
2023.06.25.00.18.,2023.06.25.00.18.,33.191788350359346,5.0
2023.06.25.00.18.,2023.06.25.00.18.,33.21632842526994,6.0
2023.06.25.00.18.,2023.06.25.00.18.,34.52255854646315,5.0
2023.06.25.00.18.,2023.06.25.00.18.,34.70762260572028,4.0
2023.06.25.00.18.,2023.06.25.00.18.,34.75883066916782,5.0
2023.06.25.00.18.,2023.06.25.00.18.,35.48480440069871,6.0
2023.06.25.00.18.,2023.06.25.00.18.,35.57240969308946,7.0
2023.06.25.00.18.,2023.06.25.00.18.,36.08780341303905,8.0
2023.06.25.00.18.,2023.06.25.00.18.,36.129891486851534,7.0
2023.06.25.00.18.,2023.06.25.00.18.,36.481212137656804,6.0
2023.06.25.00.18.,2023.06.25.00.18.,37.32904751169568,7.0
2023.06.25.00.18.,2023.06.25.00.18.,37.56885689729725,6.0
2023.06.25.00.18.,2023.06.25.00.18.,37.89532678207068,5.0
2023.06.25.00.18.,2023.06.25.00.18.,38.53776957730141,4.0
2023.06.25.00.18.,2023.06.25.00.18.,38.71758052910707,5.0
2023.06.25.00.18.,2023.06.25.00.18.,39.405925745682254,4.0
2023.06.25.00.18.,2023.06.25.00.18.,39.51828550706586,5.0
2023.06.25.00.18.,2023.06.25.00.18.,39.85346843702643,6.0
2023.06.25.00.18.,2023.06.25.00.18.,40.00335434826823,5.0
2023.06.25.00.18.,2023.06.25.00.18.,40.19781515891558,6.0
2023.06.25.00.18.,2023.06.25.00.18.,40.417676231514676,7.0
2023.06.25.00.18.,2023.06.25.00.18.,40.58527161689861,6.0
2023.06.25.00.18.,2023.06.25.00.18.,40.620281947217634,7.0
2023.06.25.00.18.,2023.06.25.00.18.,40.87569721100161,8.0
