scenario,rep_num,customer_id,num_items,arrival_ts,got_cart_ts,start_produce_ts,finish_produce_ts,got_butcher_ts,release_butcher_ts,start_pantry_ts,finish_pantry_ts,got_cashier_ts,cashier_speed,exit_system_ts,wait_for_cart,produce_time,wait_for_butcher,butcher_time,pantry_time,wait_for_cashier,checkout_time,time_in_system,time_in_system_peritem
base,1,25,17.0,7.121938669611727,7.121938669611727,8.401425824166607,17.2269382619417,,,17.2269382619417,27.497224734535386,27.497224734535386,0.1695587890772945,30.549282937926687,0.0,8.825512437775094,,,10.270286472593686,10.270286472593686,3.052058203391301,23.42734426831496,1.3780790746067624
base,1,12,14.0,3.2336803455705354,3.2336803455705354,4.126140225728067,11.40195187819987,,,11.40195187819987,30.02835673135594,30.02835673135594,0.029993925138768023,30.568247383853766,0.0,7.275811652471804,,,18.62640485315607,18.62640485315607,0.5398906524978244,27.334567038283232,1.9524690741630881
base,1,16,14.0,4.346683704553938,4.346683704553938,5.342268868056785,19.76991337624476,19.76991337624476,19.76991337624476,19.76991337624476,30.003207573997017,30.003207573997017,0.04671869464001562,30.797425382877282,0.0,14.427644508187974,0.0,0.0,10.233294197752258,10.233294197752258,0.7942178088802656,26.450741678323343,1.8893386913088102
base,1,18,17.0,4.766111676511681,4.766111676511681,6.7625979793637985,18.96789388544856,,,18.96789388544856,29.26683206020421,29.26683206020421,0.13874913999682137,31.070570880162887,0.0,12.205295906084762,,,10.298938174755648,10.298938174755648,1.803738819958678,26.304459203651206,1.5473211296265414
base,1,6,20.0,2.3338831453332434,2.3338831453332434,2.8208359014296924,14.156753785049496,,,14.156753785049496,32.28457729476901,32.28457729476901,0.053038422840479375,33.02711521453572,0.0,11.335917883619803,,,18.127823509719512,18.127823509719512,0.7425379197667112,30.693232069202477,1.534661603460124
base,1,26,19.0,7.139236762417659,7.139236762417659,7.779231655877016,12.440834506699016,,,12.440834506699016,32.301599083437964,32.301599083437964,0.08393054058138223,33.812348813902844,0.0,4.661602850822,,,19.860764576738948,19.860764576738948,1.5107497304648803,26.673112051485184,1.4038480027097464
base,1,1,17.0,0.1663066334229826,0.1663066334229826,1.8740093153051685,12.468444511518788,,,12.468444511518788,31.936711371882232,31.936711371882232,0.18772230734502718,34.75254598205764,0.0,10.59443519621362,,,19.468266860363443,19.468266860363443,2.8158346101754077,34.586239348634656,2.0344846675667445
base,1,4,14.0,1.420737593236313,1.420737593236313,2.3633536855984008,15.319898629516777,,,15.319898629516777,36.41238664900355,36.41238664900355,0.04064141440820303,37.0220078651266,0.0,12.956544943918376,,,21.092488019486773,21.092488019486773,0.6096212161230454,35.601270271890286,2.542947876563592
base,1,29,18.0,7.3149852403095235,7.3149852403095235,9.30406309611819,21.581569833189526,21.581569833189526,21.581569833189526,21.581569833189526,36.53897667454723,36.53897667454723,0.047789850947337995,37.44698384254665,0.0,12.277506737071336,0.0,0.0,14.957406841357702,14.957406841357702,0.9080071679994219,30.131998602237125,1.673999922346507
base,1,28,17.0,7.219320995421226,7.219320995421226,7.478971005036008,20.021841355645442,,,20.021841355645442,34.20007165844575,34.20007165844575,0.36825311592408577,38.250855933610694,0.0,12.542870350609434,,,14.178230302800308,14.178230302800308,4.050784275164943,31.031534938189466,1.8253844081287922
base,1,34,15.0,10.383907803056639,10.383907803056639,10.842879315934526,19.73325967648213,19.73325967648213,19.73325967648213,19.73325967648213,36.134977223646175,36.134977223646175,0.11323050166741204,38.399587256994415,0.0,8.890380360547605,0.0,0.0,16.401717547164044,16.401717547164044,2.264610033348241,28.01567945393778,1.867711963595852
base,1,2,20.0,0.24077785462919055,0.24077785462919055,2.110939201772199,11.1460438620859,,,11.1460438620859,34.05961559425127,34.05961559425127,0.3854851413388829,38.685437290317864,0.0,9.035104660313701,,,22.91357173216537,22.91357173216537,4.625821696066595,38.44465943568867,1.9222329717844335
base,1,31,17.0,8.228073076120547,8.228073076120547,10.139344304330105,25.88967905739214,25.88967905739214,25.88967905739214,25.88967905739214,37.55489069598067,38.250855933610694,0.06172323125849451,39.3001508650051,0.0,15.750334753062035,0.0,0.0,11.665211638588527,12.361176876218554,1.0492949313944067,31.072077788884556,1.8277692816990916
base,1,43,21.0,12.893663950107548,12.893663950107548,13.075428615501648,21.3079822974262,,,21.3079822974262,36.56926249707752,37.0220078651266,0.11546146494525172,39.44669862897688,0.0,8.232553681924552,,,15.261280199651317,15.714025567700396,2.424690763850286,26.553034678869334,1.2644302228033015
base,1,21,16.0,5.159569322784034,5.159569322784034,6.700733893391384,21.11940215083661,,,21.11940215083661,36.64764541752668,37.44698384254665,0.10662789173386641,39.57954167722398,0.0,14.418668257445226,,,15.528243266690072,16.32758169171004,2.1325578346773284,34.41997235443995,2.151248272152497
base,1,17,16.0,4.453476599553743,4.453476599553743,5.212371652230691,23.242305662297102,23.242305662297102,23.242305662297102,23.242305662297102,35.293440781833574,35.293440781833574,0.2896507294178945,39.927852452519886,0.0,18.029934010066412,0.0,0.0,12.051135119536472,12.051135119536472,4.634411670686312,35.47437585296614,2.217148490810384
base,1,35,18.0,10.77563432346199,10.77563432346199,11.489930590826114,18.908390668525627,18.908390668525627,18.908390668525627,18.908390668525627,37.80884823475809,38.399587256994415,0.11370573541982697,40.78740770081078,0.0,7.418460077699512,0.0,0.0,18.90045756623246,19.49119658846879,2.3878204438163664,30.011773377348792,1.667320743186044
base,1,14,15.0,3.7179916135500126,3.7179916135500126,4.973886146024811,18.88760904987765,,,18.88760904987765,31.714570676202534,31.714570676202534,0.6182130144839254,40.987765893461415,0.0,13.91372290385284,,,12.826961626324884,12.826961626324884,9.27319521725888,37.2697742799114,2.4846516186607603
base,1,24,20.0,6.472177291837595,6.472177291837595,8.053230248274112,24.62837960919602,24.62837960919602,24.62837960919602,24.62837960919602,35.65236327166967,35.65236327166967,0.31813255439857285,41.696881805242555,0.0,16.57514936092191,0.0,0.0,11.02398366247365,11.02398366247365,6.044518533572884,35.22470451340496,1.761235225670248
base,1,13,15.0,3.3612225535799007,3.3612225535799007,3.534212954876209,18.465565103564636,,,18.465565103564636,34.616465867843296,34.616465867843296,0.5992673019127714,41.80767349079655,0.0,14.931352148688427,,,16.15090076427866,16.15090076427866,7.191207622953257,38.44645093721665,2.563096729147777
base,1,39,18.0,11.682784124713445,11.682784124713445,12.440301235496436,14.155924109813924,,,14.155924109813924,36.518889083920705,36.518889083920705,0.27688529099988096,42.056594903918324,0.0,1.7156228743174875,,,22.36296497410678,22.36296497410678,5.537705819997619,30.37381077920488,1.687433932178049
base,1,27,16.0,7.154590704695724,7.154590704695724,7.959328158505995,24.039772797203035,,,24.039772797203035,39.89808208995308,40.987765893461415,0.1007047376835524,42.90115590944891,0.0,16.08044463869704,,,15.858309292750043,16.94799309625838,1.9133900159874955,35.74656520475319,2.2341603252970743
base,1,3,17.0,0.5271991336826665,0.5271991336826665,2.1062279178771615,19.835612702366326,,,19.835612702366326,36.287364672052206,36.287364672052206,0.3547997695708198,43.02856029389778,0.0,17.729384784489163,,,16.45175196968588,16.45175196968588,6.741195621845577,42.50136116021512,2.5000800682479483
base,1,5,18.0,1.8346065659468795,1.8346065659468795,3.339519406452564,19.13206564060626,,,19.13206564060626,38.531239698045,39.57954167722398,0.16173864389432877,43.13779184289921,0.0,15.792546234153697,,,19.39917405743874,20.44747603661772,3.558250165675233,41.303185276952334,2.2946214042751296
base,1,38,17.0,11.555122473882681,11.555122473882681,12.639118639434713,26.295060670653946,,,26.295060670653946,42.276104759110126,42.90115590944891,0.03095661805319968,43.489331652459704,0.0,13.655942031219233,,,15.98104408845618,16.606095238794964,0.5881757430107939,31.93420917857702,1.8784828928574717
base,1,8,18.0,2.7870353461782638,2.7870353461782638,3.75155396270158,17.7011887130448,,,17.7011887130448,38.12429377066838,38.685437290317864,0.32042683516718995,43.8122666529929,0.0,13.94963475034322,,,20.42310505762358,20.984248577273064,5.126829362675039,41.02523130681464,2.279179517045258
base,1,7,21.0,2.4447120843786037,2.4447120843786037,3.6157296191905974,13.85271910978427,,,13.85271910978427,31.833732491706066,31.833732491706066,0.7152051351613965,43.992219789449805,0.0,10.236989490593672,,,17.981013381921798,17.981013381921798,12.15848729774374,41.547507705071204,1.9784527478605336
base,1,10,18.0,2.975640052894873,2.975640052894873,3.946674191490743,10.646428548997267,10.646428548997267,16.915315937207613,16.915315937207613,38.640190101375254,39.927852452519886,0.28895178784735087,44.5510810580775,0.0,6.699754357506524,0.0,6.268887388210345,21.72487416416764,29.28142390352262,4.623228605557614,41.575441005182626,2.309746722510146
base,1,30,20.0,8.091106807752956,8.091106807752956,8.094321494804024,13.540967562121814,,,13.540967562121814,40.11159417110868,41.696881805242555,0.17272843450824382,44.6332651918827,0.0,5.44664606731779,,,26.570626608986863,28.15591424312074,2.936383386640145,36.54215838412974,1.8271079192064872
base,1,67,15.0,22.92029105291662,22.92029105291662,24.511859504732172,29.883329672919338,,,29.883329672919338,44.64010885621845,44.64010885621845,0.016790021527259925,44.975909286763645,0.0,5.371470168187166,,,14.756779183299109,14.756779183299109,0.3358004305451985,22.055618233847024,1.470374548923135
base,1,9,16.0,2.8126803497136725,2.8126803497136725,3.9608453354699247,20.736830914405537,,,20.736830914405537,39.11436793221458,40.78740770081078,0.3029941851975475,45.93830884916909,0.0,16.77598557893561,,,18.37753701780904,20.050576786405244,5.150901148358308,43.125628499455416,2.6953517812159635
base,1,22,19.0,6.081654911085276,6.081654911085276,6.687625070396711,13.776683140287798,16.915315937207613,16.915315937207613,16.915315937207613,41.73854627239116,42.056594903918324,0.27122129640905035,46.39613564646313,0.0,7.089058069891086,3.138632796919815,0.0,24.82323033518355,28.279911763630526,4.339540742544806,40.314480735377856,2.121814775546203
