scenario,rep_num,ts,occ
2023.06.25.00.18.,2023.06.25.00.18.,0.0,0.0
2023.06.25.00.18.,2023.06.25.00.18.,28.44976518959605,1.0
2023.06.25.00.18.,2023.06.25.00.18.,28.5869155289436,2.0
2023.06.25.00.18.,2023.06.25.00.18.,31.170309108333996,1.0
2023.06.25.00.18.,2023.06.25.00.18.,32.74095653187494,2.0
2023.06.25.00.18.,2023.06.25.00.18.,34.70489348523348,1.0
2023.06.25.00.18.,2023.06.25.00.18.,34.90898745488439,0.0
2023.06.25.00.18.,2023.06.25.00.18.,34.98998594578012,1.0
2023.06.25.00.18.,2023.06.25.00.18.,35.490905281566526,2.0
2023.06.25.00.18.,2023.06.25.00.18.,35.98167387726749,3.0
2023.06.25.00.18.,2023.06.25.00.18.,36.56899410740487,4.0
2023.06.25.00.18.,2023.06.25.00.18.,36.816174863858194,5.0
2023.06.25.00.18.,2023.06.25.00.18.,37.166035368015656,6.0
2023.06.25.00.18.,2023.06.25.00.18.,37.28166908119133,5.0
2023.06.25.00.18.,2023.06.25.00.18.,37.556994185501935,6.0
2023.06.25.00.18.,2023.06.25.00.18.,37.75899949718936,5.0
2023.06.25.00.18.,2023.06.25.00.18.,37.7594167039325,4.0
2023.06.25.00.18.,2023.06.25.00.18.,38.8637264527393,5.0
2023.06.25.00.18.,2023.06.25.00.18.,39.14788321883556,6.0
2023.06.25.00.18.,2023.06.25.00.18.,39.52866447076849,5.0
2023.06.25.00.18.,2023.06.25.00.18.,40.53836374019035,6.0
2023.06.25.00.18.,2023.06.25.00.18.,40.676912334904955,7.0
2023.06.25.00.18.,2023.06.25.00.18.,40.85196383466074,8.0
2023.06.25.00.18.,2023.06.25.00.18.,40.88051638675874,9.0
2023.06.25.00.18.,2023.06.25.00.18.,41.215145609973135,10.0
2023.06.25.00.18.,2023.06.25.00.18.,41.31808111906123,9.0
2023.06.25.00.18.,2023.06.25.00.18.,41.57899029573521,8.0
2023.06.25.00.18.,2023.06.25.00.18.,41.63145992277393,9.0
2023.06.25.00.18.,2023.06.25.00.18.,42.06846827356762,10.0
2023.06.25.00.18.,2023.06.25.00.18.,42.196874072367265,9.0
2023.06.25.00.18.,2023.06.25.00.18.,42.2210290065644,8.0
2023.06.25.00.18.,2023.06.25.00.18.,43.15378445814275,7.0
2023.06.25.00.18.,2023.06.25.00.18.,43.1990065690717,6.0
2023.06.25.00.18.,2023.06.25.00.18.,43.377775064805256,7.0
2023.06.25.00.18.,2023.06.25.00.18.,43.48326629733745,8.0
2023.06.25.00.18.,2023.06.25.00.18.,43.541995971007196,9.0
2023.06.25.00.18.,2023.06.25.00.18.,44.31671149965012,8.0
2023.06.25.00.18.,2023.06.25.00.18.,44.40513791102201,9.0
2023.06.25.00.18.,2023.06.25.00.18.,44.58211332357161,8.0
2023.06.25.00.18.,2023.06.25.00.18.,44.7269305730069,9.0
2023.06.25.00.18.,2023.06.25.00.18.,45.384781971806106,10.0
2023.06.25.00.18.,2023.06.25.00.18.,45.43226213966287,11.0
2023.06.25.00.18.,2023.06.25.00.18.,45.48276196488892,12.0
2023.06.25.00.18.,2023.06.25.00.18.,45.77577074863782,11.0
2023.06.25.00.18.,2023.06.25.00.18.,45.803496421473376,12.0
2023.06.25.00.18.,2023.06.25.00.18.,46.27871488476534,11.0
2023.06.25.00.18.,2023.06.25.00.18.,46.623388402709864,12.0
2023.06.25.00.18.,2023.06.25.00.18.,46.706019631709935,11.0
2023.06.25.00.18.,2023.06.25.00.18.,46.706019631709935,12.0
2023.06.25.00.18.,2023.06.25.00.18.,46.81105020272742,11.0
2023.06.25.00.18.,2023.06.25.00.18.,47.65334713122787,12.0
2023.06.25.00.18.,2023.06.25.00.18.,48.065160301102246,11.0
2023.06.25.00.18.,2023.06.25.00.18.,48.065160301102246,12.0
2023.06.25.00.18.,2023.06.25.00.18.,48.176045835491585,11.0
2023.06.25.00.18.,2023.06.25.00.18.,48.55930416260177,12.0
2023.06.25.00.18.,2023.06.25.00.18.,48.68537726684452,11.0
2023.06.25.00.18.,2023.06.25.00.18.,48.68537726684452,12.0
2023.06.25.00.18.,2023.06.25.00.18.,49.1588986435574,11.0
2023.06.25.00.18.,2023.06.25.00.18.,49.348745045740145,12.0
2023.06.25.00.18.,2023.06.25.00.18.,49.47353064710979,11.0
2023.06.25.00.18.,2023.06.25.00.18.,49.47353064710979,12.0
2023.06.25.00.18.,2023.06.25.00.18.,49.479933256200326,11.0
2023.06.25.00.18.,2023.06.25.00.18.,49.479933256200326,12.0
2023.06.25.00.18.,2023.06.25.00.18.,49.48079469127009,11.0
2023.06.25.00.18.,2023.06.25.00.18.,49.82063884296342,12.0
2023.06.25.00.18.,2023.06.25.00.18.,50.914311998625195,11.0
2023.06.25.00.18.,2023.06.25.00.18.,50.914311998625195,12.0
2023.06.25.00.18.,2023.06.25.00.18.,51.72115879864941,11.0
2023.06.25.00.18.,2023.06.25.00.18.,51.72115879864941,12.0
2023.06.25.00.18.,2023.06.25.00.18.,51.9383807377731,11.0
2023.06.25.00.18.,2023.06.25.00.18.,51.9383807377731,12.0
2023.06.25.00.18.,2023.06.25.00.18.,52.046371626175386,11.0
2023.06.25.00.18.,2023.06.25.00.18.,52.046371626175386,12.0
2023.06.25.00.18.,2023.06.25.00.18.,52.74747727923829,11.0
2023.06.25.00.18.,2023.06.25.00.18.,52.74747727923829,12.0
2023.06.25.00.18.,2023.06.25.00.18.,53.72545093711197,11.0
2023.06.25.00.18.,2023.06.25.00.18.,53.72545093711197,12.0
2023.06.25.00.18.,2023.06.25.00.18.,54.10175815297996,11.0
2023.06.25.00.18.,2023.06.25.00.18.,54.10175815297996,12.0
2023.06.25.00.18.,2023.06.25.00.18.,54.11783653699268,11.0
2023.06.25.00.18.,2023.06.25.00.18.,54.11783653699268,12.0
2023.06.25.00.18.,2023.06.25.00.18.,54.40725672485473,11.0
2023.06.25.00.18.,2023.06.25.00.18.,54.40725672485473,12.0
2023.06.25.00.18.,2023.06.25.00.18.,54.53114995469143,11.0
2023.06.25.00.18.,2023.06.25.00.18.,54.541334636337815,12.0
2023.06.25.00.18.,2023.06.25.00.18.,54.60597849076082,11.0
2023.06.25.00.18.,2023.06.25.00.18.,54.78385988741587,12.0
2023.06.25.00.18.,2023.06.25.00.18.,54.89154098969343,11.0
2023.06.25.00.18.,2023.06.25.00.18.,54.935212806582406,12.0
2023.06.25.00.18.,2023.06.25.00.18.,55.42853170668959,11.0
2023.06.25.00.18.,2023.06.25.00.18.,55.42853170668959,12.0
2023.06.25.00.18.,2023.06.25.00.18.,55.67098944026947,11.0
2023.06.25.00.18.,2023.06.25.00.18.,55.77793520260028,10.0
2023.06.25.00.18.,2023.06.25.00.18.,55.77945209557321,9.0
2023.06.25.00.18.,2023.06.25.00.18.,56.09094788952251,8.0
2023.06.25.00.18.,2023.06.25.00.18.,56.15050387263577,7.0
2023.06.25.00.18.,2023.06.25.00.18.,57.26087222871967,6.0
2023.06.25.00.18.,2023.06.25.00.18.,57.78773533621562,7.0
2023.06.25.00.18.,2023.06.25.00.18.,57.989277620821305,6.0
2023.06.25.00.18.,2023.06.25.00.18.,58.017305654686446,7.0
2023.06.25.00.18.,2023.06.25.00.18.,58.37078202093577,6.0
2023.06.25.00.18.,2023.06.25.00.18.,58.54659987096826,5.0
2023.06.25.00.18.,2023.06.25.00.18.,58.62858187552399,4.0
2023.06.25.00.18.,2023.06.25.00.18.,58.987347865199325,5.0
2023.06.25.00.18.,2023.06.25.00.18.,59.21658364886604,4.0
2023.06.25.00.18.,2023.06.25.00.18.,59.506850955737015,5.0
2023.06.25.00.18.,2023.06.25.00.18.,60.06427028492311,6.0
2023.06.25.00.18.,2023.06.25.00.18.,60.16676177669849,5.0
2023.06.25.00.18.,2023.06.25.00.18.,60.41507888290086,6.0
2023.06.25.00.18.,2023.06.25.00.18.,60.69620700583232,7.0
2023.06.25.00.18.,2023.06.25.00.18.,60.80756197436652,8.0
2023.06.25.00.18.,2023.06.25.00.18.,61.03929100257881,9.0
2023.06.25.00.18.,2023.06.25.00.18.,61.07849050410866,10.0
2023.06.25.00.18.,2023.06.25.00.18.,61.273753958269296,11.0
2023.06.25.00.18.,2023.06.25.00.18.,61.47248735819914,10.0
2023.06.25.00.18.,2023.06.25.00.18.,61.97158086318182,9.0
2023.06.25.00.18.,2023.06.25.00.18.,62.06622053796979,8.0
2023.06.25.00.18.,2023.06.25.00.18.,62.50317432590707,9.0
2023.06.25.00.18.,2023.06.25.00.18.,63.007513104256475,10.0
2023.06.25.00.18.,2023.06.25.00.18.,63.36669489677185,9.0
2023.06.25.00.18.,2023.06.25.00.18.,63.630353802442606,10.0
2023.06.25.00.18.,2023.06.25.00.18.,63.80217941798286,9.0
2023.06.25.00.18.,2023.06.25.00.18.,63.84775736266975,10.0
2023.06.25.00.18.,2023.06.25.00.18.,63.88835219179051,9.0
2023.06.25.00.18.,2023.06.25.00.18.,63.91350872406666,10.0
2023.06.25.00.18.,2023.06.25.00.18.,64.15835028502006,9.0
2023.06.25.00.18.,2023.06.25.00.18.,64.18177550287484,10.0
2023.06.25.00.18.,2023.06.25.00.18.,64.18407443912074,9.0
2023.06.25.00.18.,2023.06.25.00.18.,64.2417943502152,8.0
2023.06.25.00.18.,2023.06.25.00.18.,64.64397387933445,7.0
2023.06.25.00.18.,2023.06.25.00.18.,64.68162366489074,8.0
2023.06.25.00.18.,2023.06.25.00.18.,64.77132340161408,7.0
2023.06.25.00.18.,2023.06.25.00.18.,64.88570762271613,8.0
2023.06.25.00.18.,2023.06.25.00.18.,65.00068299585672,7.0
2023.06.25.00.18.,2023.06.25.00.18.,65.03084151114808,8.0
2023.06.25.00.18.,2023.06.25.00.18.,65.20104408341682,9.0
2023.06.25.00.18.,2023.06.25.00.18.,65.33232547571511,10.0
2023.06.25.00.18.,2023.06.25.00.18.,65.75741904944671,9.0
2023.06.25.00.18.,2023.06.25.00.18.,65.96478325659703,8.0
2023.06.25.00.18.,2023.06.25.00.18.,65.98099634376923,9.0
2023.06.25.00.18.,2023.06.25.00.18.,66.00922776798014,8.0
2023.06.25.00.18.,2023.06.25.00.18.,66.11654613710442,9.0
2023.06.25.00.18.,2023.06.25.00.18.,66.47640786964695,10.0
2023.06.25.00.18.,2023.06.25.00.18.,66.52465385681076,9.0
2023.06.25.00.18.,2023.06.25.00.18.,66.5737989542705,10.0
2023.06.25.00.18.,2023.06.25.00.18.,66.87966289455497,9.0
2023.06.25.00.18.,2023.06.25.00.18.,66.90979160975287,8.0
2023.06.25.00.18.,2023.06.25.00.18.,66.98279209377266,7.0
2023.06.25.00.18.,2023.06.25.00.18.,67.3724686402866,6.0
2023.06.25.00.18.,2023.06.25.00.18.,67.49140336838964,7.0
2023.06.25.00.18.,2023.06.25.00.18.,68.01019638764636,6.0
2023.06.25.00.18.,2023.06.25.00.18.,68.01817949571414,7.0
2023.06.25.00.18.,2023.06.25.00.18.,68.74662212328826,8.0
2023.06.25.00.18.,2023.06.25.00.18.,68.80331056946446,9.0
2023.06.25.00.18.,2023.06.25.00.18.,69.14297182300379,10.0
2023.06.25.00.18.,2023.06.25.00.18.,69.61601543148197,11.0
2023.06.25.00.18.,2023.06.25.00.18.,69.74071790905252,10.0
2023.06.25.00.18.,2023.06.25.00.18.,69.95995661862231,9.0
2023.06.25.00.18.,2023.06.25.00.18.,70.00087544003948,8.0
2023.06.25.00.18.,2023.06.25.00.18.,70.11777355513142,7.0
2023.06.25.00.18.,2023.06.25.00.18.,70.14379159391052,6.0
2023.06.25.00.18.,2023.06.25.00.18.,70.15572523285135,5.0
2023.06.25.00.18.,2023.06.25.00.18.,70.70685266330645,6.0
2023.06.25.00.18.,2023.06.25.00.18.,70.94035817964934,7.0
2023.06.25.00.18.,2023.06.25.00.18.,71.03523765750045,8.0
2023.06.25.00.18.,2023.06.25.00.18.,72.05766494319724,9.0
2023.06.25.00.18.,2023.06.25.00.18.,72.29244554491666,8.0
2023.06.25.00.18.,2023.06.25.00.18.,72.46436768032449,9.0
2023.06.25.00.18.,2023.06.25.00.18.,72.59789656928871,10.0
