scenario,rep_num,customer_id,num_produce,num_butcher,num_pantry,num_items,arrival_ts,got_cart_ts,start_produce_ts,finish_produce_ts,got_butcher_ts,release_butcher_ts,start_pantry_ts,finish_pantry_ts,got_cashier_ts,cashier_speed,exit_system_ts,wait_for_cart,produce_time,wait_for_butcher,butcher_time,pantry_time,wait_for_cashier,checkout_time,time_in_system,time_in_system_peritem
base,3,3,7.0,0.0,11.0,18.0,0.12906978054951962,0.12906978054951962,1.4407614024714783,11.312863719257843,11.312863719257843,11.312863719257843,11.312863719257843,26.230397826050165,26.230397826050165,0.05753199150275057,27.150909690094174,0.0,9.872102316786364,0.0,0.0,14.917534106792322,14.917534106792322,0.9205118640440091,27.021839909544653,1.5012133283080362
base,3,5,5.0,0.0,12.0,13.0,0.6886223707145193,0.6886223707145193,1.6711122835011243,15.331908478247767,,,15.331908478247767,25.779210397089898,25.779210397089898,0.16786463189961642,28.46504450748376,0.0,13.660796194746643,,,10.44730191884213,10.44730191884213,2.6858341103938628,27.77642213676924,2.136647856674557
base,3,8,9.0,0.0,6.0,15.0,1.6230311612027828,1.6230311612027828,2.2190012014828255,14.33861906161737,,,14.33861906161737,28.350728725371496,28.350728725371496,0.07047395830304382,29.830681849735416,0.0,12.119617860134545,,,14.012109663754126,14.012109663754126,1.4799531243639201,28.207650688532635,1.8805100459021757
base,3,1,5.0,2.0,10.0,21.0,0.07716101223895286,0.07716101223895286,1.337707414479866,11.41228480849059,,,11.41228480849059,29.15110874629574,29.15110874629574,0.08174983087448999,30.94960502553452,0.0,10.074577394010724,,,17.73882393780515,17.73882393780515,1.7984962792387797,30.872444013295567,1.4701163815855032
base,3,4,10.0,2.0,8.0,17.0,0.5810876084293878,0.5810876084293878,1.6358598383971867,15.3429933180059,15.3429933180059,15.3429933180059,15.3429933180059,34.77235895673491,34.77235895673491,0.017714866594505534,35.073511688841506,0.0,13.707133479608714,0.0,0.0,19.42936563872901,19.42936563872901,0.3011527321065941,34.49242408041212,2.0289661223771835
base,3,6,9.0,0.0,12.0,15.0,0.7929913656424411,0.7929913656424411,0.9981041326048662,12.946035498384408,12.946035498384408,12.946035498384408,12.946035498384408,33.38267782313093,33.38267782313093,0.15133662964228353,35.65272726776519,0.0,11.947931365779542,0.0,0.0,20.436642324746526,20.436642324746526,2.270049444634253,34.85973590212274,2.3239823934748496
base,3,31,10.0,0.0,8.0,23.0,10.354435446010148,10.354435446010148,10.980149690601115,20.50579597600582,,,20.50579597600582,34.20710672921407,34.20710672921407,0.2538943047547658,39.284992824309384,0.0,9.525646285404706,,,13.701310753208247,13.701310753208247,5.077886095095316,28.930557378299234,1.2578503207956189
base,3,11,5.0,0.0,9.0,16.0,3.389363222039597,3.389363222039597,4.670849727562636,13.2366038264109,,,13.2366038264109,38.67998690930348,38.67998690930348,0.03133024090166617,39.369252209140136,0.0,8.565754098848263,,,25.44338308289258,25.44338308289258,0.6892652998366557,35.97988898710054,2.2487430616937836
base,3,34,6.0,0.0,10.0,19.0,11.082180465116789,11.082180465116789,11.121504504546623,23.12090064333656,24.550835873699803,24.550835873699803,24.550835873699803,38.725427940541906,38.725427940541906,0.04980141129743822,39.62185334389579,0.0,11.999396138789939,1.4299352303632418,0.0,14.174592066842102,15.604527297205344,0.8964254033538879,28.539672878779005,1.5020880462515265
base,3,9,8.0,0.0,11.0,16.0,2.725199028975947,2.725199028975947,3.9473902241383314,12.730356436921582,,,12.730356436921582,39.006887432651226,39.006887432651226,0.029461536437659867,39.65504123427974,0.0,8.78296621278325,,,26.276530995729644,26.276530995729644,0.6481538016285171,36.9298422053038,2.3081151378314875
