scenario,rep_num,ts,occ
2023.06.25.00.18.,2023.06.25.00.18.,0.0,0.0
2023.06.25.00.18.,2023.06.25.00.18.,0.07716101223895286,1.0
2023.06.25.00.18.,2023.06.25.00.18.,0.07781291854771653,2.0
2023.06.25.00.18.,2023.06.25.00.18.,0.12906978054951962,3.0
2023.06.25.00.18.,2023.06.25.00.18.,0.5810876084293878,4.0
2023.06.25.00.18.,2023.06.25.00.18.,0.6886223707145193,5.0
2023.06.25.00.18.,2023.06.25.00.18.,0.7929913656424411,6.0
2023.06.25.00.18.,2023.06.25.00.18.,0.8493641151698096,7.0
2023.06.25.00.18.,2023.06.25.00.18.,1.6230311612027828,8.0
2023.06.25.00.18.,2023.06.25.00.18.,2.725199028975947,9.0
2023.06.25.00.18.,2023.06.25.00.18.,2.9233409216914117,10.0
2023.06.25.00.18.,2023.06.25.00.18.,3.389363222039597,11.0
2023.06.25.00.18.,2023.06.25.00.18.,3.393359212485948,12.0
2023.06.25.00.18.,2023.06.25.00.18.,3.5861162640358604,13.0
2023.06.25.00.18.,2023.06.25.00.18.,4.093442505953508,14.0
2023.06.25.00.18.,2023.06.25.00.18.,4.136992220350114,15.0
2023.06.25.00.18.,2023.06.25.00.18.,4.1663696726019674,16.0
2023.06.25.00.18.,2023.06.25.00.18.,5.414162600600252,17.0
2023.06.25.00.18.,2023.06.25.00.18.,5.814458300517657,18.0
2023.06.25.00.18.,2023.06.25.00.18.,6.695502269781899,19.0
2023.06.25.00.18.,2023.06.25.00.18.,6.785565196340967,20.0
2023.06.25.00.18.,2023.06.25.00.18.,7.153841970820542,21.0
2023.06.25.00.18.,2023.06.25.00.18.,7.233614114949423,22.0
2023.06.25.00.18.,2023.06.25.00.18.,7.401526628582951,23.0
2023.06.25.00.18.,2023.06.25.00.18.,7.60047635842579,24.0
2023.06.25.00.18.,2023.06.25.00.18.,7.726912259392902,25.0
2023.06.25.00.18.,2023.06.25.00.18.,8.295027525475508,26.0
2023.06.25.00.18.,2023.06.25.00.18.,8.558008610079593,27.0
2023.06.25.00.18.,2023.06.25.00.18.,9.208455459847192,28.0
2023.06.25.00.18.,2023.06.25.00.18.,9.686351380264432,29.0
2023.06.25.00.18.,2023.06.25.00.18.,10.336153735696067,30.0
2023.06.25.00.18.,2023.06.25.00.18.,10.354435446010148,31.0
2023.06.25.00.18.,2023.06.25.00.18.,10.49804036025067,32.0
2023.06.25.00.18.,2023.06.25.00.18.,10.597569903408592,33.0
2023.06.25.00.18.,2023.06.25.00.18.,11.082180465116789,34.0
2023.06.25.00.18.,2023.06.25.00.18.,11.242061609036673,35.0
2023.06.25.00.18.,2023.06.25.00.18.,11.334337456199354,36.0
2023.06.25.00.18.,2023.06.25.00.18.,11.898731293478415,37.0
2023.06.25.00.18.,2023.06.25.00.18.,12.29959610693444,38.0
2023.06.25.00.18.,2023.06.25.00.18.,12.448092931785512,39.0
2023.06.25.00.18.,2023.06.25.00.18.,12.49210982710172,40.0
2023.06.25.00.18.,2023.06.25.00.18.,12.672639831958042,41.0
2023.06.25.00.18.,2023.06.25.00.18.,13.235664764943838,42.0
2023.06.25.00.18.,2023.06.25.00.18.,14.778906841590702,43.0
2023.06.25.00.18.,2023.06.25.00.18.,14.92029061395237,44.0
2023.06.25.00.18.,2023.06.25.00.18.,15.19144781624779,45.0
2023.06.25.00.18.,2023.06.25.00.18.,16.193909178997707,46.0
2023.06.25.00.18.,2023.06.25.00.18.,16.92405678237196,47.0
2023.06.25.00.18.,2023.06.25.00.18.,17.098818452284288,48.0
2023.06.25.00.18.,2023.06.25.00.18.,17.18012474105322,49.0
2023.06.25.00.18.,2023.06.25.00.18.,17.410523155527056,50.0
2023.06.25.00.18.,2023.06.25.00.18.,18.14538330148731,51.0
2023.06.25.00.18.,2023.06.25.00.18.,18.319014167766735,52.0
2023.06.25.00.18.,2023.06.25.00.18.,18.58925349692073,53.0
2023.06.25.00.18.,2023.06.25.00.18.,18.89107249408866,54.0
2023.06.25.00.18.,2023.06.25.00.18.,19.025206733200566,55.0
2023.06.25.00.18.,2023.06.25.00.18.,19.316297998677626,56.0
2023.06.25.00.18.,2023.06.25.00.18.,20.012474924447492,57.0
2023.06.25.00.18.,2023.06.25.00.18.,20.429851290796034,58.0
2023.06.25.00.18.,2023.06.25.00.18.,20.44441083938516,59.0
2023.06.25.00.18.,2023.06.25.00.18.,20.64231617613445,60.0
2023.06.25.00.18.,2023.06.25.00.18.,21.029888212046277,61.0
2023.06.25.00.18.,2023.06.25.00.18.,21.756579605459518,62.0
2023.06.25.00.18.,2023.06.25.00.18.,21.932263444654204,63.0
2023.06.25.00.18.,2023.06.25.00.18.,22.373369750748274,64.0
2023.06.25.00.18.,2023.06.25.00.18.,22.385707267991688,65.0
2023.06.25.00.18.,2023.06.25.00.18.,23.07008665863257,66.0
2023.06.25.00.18.,2023.06.25.00.18.,23.340895211449652,67.0
2023.06.25.00.18.,2023.06.25.00.18.,23.351180554627604,68.0
2023.06.25.00.18.,2023.06.25.00.18.,23.982808554939734,69.0
2023.06.25.00.18.,2023.06.25.00.18.,24.24303528695343,70.0
2023.06.25.00.18.,2023.06.25.00.18.,24.5964818052784,71.0
2023.06.25.00.18.,2023.06.25.00.18.,24.63032967331496,72.0
2023.06.25.00.18.,2023.06.25.00.18.,25.764113246434754,73.0
2023.06.25.00.18.,2023.06.25.00.18.,25.917535780128496,74.0
2023.06.25.00.18.,2023.06.25.00.18.,26.028130319370398,75.0
2023.06.25.00.18.,2023.06.25.00.18.,26.374084046297895,76.0
2023.06.25.00.18.,2023.06.25.00.18.,27.159032107095022,77.0
2023.06.25.00.18.,2023.06.25.00.18.,27.328054389770532,78.0
2023.06.25.00.18.,2023.06.25.00.18.,27.369159393830206,79.0
2023.06.25.00.18.,2023.06.25.00.18.,27.37283454072552,80.0
2023.06.25.00.18.,2023.06.25.00.18.,27.393721978922983,81.0
2023.06.25.00.18.,2023.06.25.00.18.,27.619046715372324,82.0
2023.06.25.00.18.,2023.06.25.00.18.,27.76527175492343,83.0
2023.06.25.00.18.,2023.06.25.00.18.,29.39757462872184,84.0
2023.06.25.00.18.,2023.06.25.00.18.,29.567064092985724,85.0
2023.06.25.00.18.,2023.06.25.00.18.,29.574279195095365,84.0
2023.06.25.00.18.,2023.06.25.00.18.,29.929915400059052,83.0
2023.06.25.00.18.,2023.06.25.00.18.,30.52084189629399,84.0
2023.06.25.00.18.,2023.06.25.00.18.,30.712868748949013,83.0
2023.06.25.00.18.,2023.06.25.00.18.,30.75387789914868,84.0
2023.06.25.00.18.,2023.06.25.00.18.,31.05894934896322,85.0
2023.06.25.00.18.,2023.06.25.00.18.,31.512031724253617,84.0
2023.06.25.00.18.,2023.06.25.00.18.,31.984157157392517,85.0
2023.06.25.00.18.,2023.06.25.00.18.,32.25838680979228,86.0
2023.06.25.00.18.,2023.06.25.00.18.,32.39893298285394,87.0
2023.06.25.00.18.,2023.06.25.00.18.,32.446732354819346,88.0
2023.06.25.00.18.,2023.06.25.00.18.,32.50832913299771,87.0
2023.06.25.00.18.,2023.06.25.00.18.,32.53385781999207,88.0
2023.06.25.00.18.,2023.06.25.00.18.,32.6536681183618,89.0
2023.06.25.00.18.,2023.06.25.00.18.,33.34651549423511,90.0
2023.06.25.00.18.,2023.06.25.00.18.,33.615605238973586,91.0
2023.06.25.00.18.,2023.06.25.00.18.,33.66764297047145,92.0
2023.06.25.00.18.,2023.06.25.00.18.,33.8762776717605,93.0
2023.06.25.00.18.,2023.06.25.00.18.,34.16925380534097,92.0
2023.06.25.00.18.,2023.06.25.00.18.,34.24324682290771,93.0
2023.06.25.00.18.,2023.06.25.00.18.,34.36175748379513,92.0
2023.06.25.00.18.,2023.06.25.00.18.,34.70164219007834,93.0
2023.06.25.00.18.,2023.06.25.00.18.,35.31464861914091,94.0
2023.06.25.00.18.,2023.06.25.00.18.,35.3264560919575,95.0
2023.06.25.00.18.,2023.06.25.00.18.,35.40276259050165,96.0
2023.06.25.00.18.,2023.06.25.00.18.,36.156295775452904,97.0
2023.06.25.00.18.,2023.06.25.00.18.,36.166001789280116,98.0
2023.06.25.00.18.,2023.06.25.00.18.,36.526961607308415,99.0
2023.06.25.00.18.,2023.06.25.00.18.,36.76883651852781,100.0
2023.06.25.00.18.,2023.06.25.00.18.,36.906214543637965,101.0
2023.06.25.00.18.,2023.06.25.00.18.,37.2130347136458,102.0
2023.06.25.00.18.,2023.06.25.00.18.,37.317121301801635,103.0
2023.06.25.00.18.,2023.06.25.00.18.,37.99951340660783,104.0
2023.06.25.00.18.,2023.06.25.00.18.,38.04939808409847,105.0
2023.06.25.00.18.,2023.06.25.00.18.,38.36866640894182,106.0
2023.06.25.00.18.,2023.06.25.00.18.,38.46859335095531,107.0
2023.06.25.00.18.,2023.06.25.00.18.,39.07703311790398,108.0
2023.06.25.00.18.,2023.06.25.00.18.,39.264100924344625,109.0
2023.06.25.00.18.,2023.06.25.00.18.,39.54965104178526,108.0
2023.06.25.00.18.,2023.06.25.00.18.,39.716331073050135,107.0
2023.06.25.00.18.,2023.06.25.00.18.,39.82933057341315,106.0
2023.06.25.00.18.,2023.06.25.00.18.,39.91877788587174,107.0
2023.06.25.00.18.,2023.06.25.00.18.,39.951240134918564,108.0
